Title;Artist;Genre;Track URL;danceability;energy;key;loudness;mode;speechiness;acousticness;instrumentalness;liveness;valence;tempo;duration_ms;time_signature
Blues Prisoner;Tommy Castro;Blues;https://open.spotify.com/track/45i73H5FvrR0jbwvG8mVSS;0.362;0.601;7.0;-6.042;0.0;0.0309;0.147;0.117;0.134;0.314;153.871;316006.0;3.0
How to Love;Buffalo Nichols;Blues;https://open.spotify.com/track/5xSUcxAoaRsXMaaSace7ST;0.63;0.626;1.0;-8.63;1.0;0.0341;0.697;0.000715;0.0913;0.251;102.985;218358.0;4.0
She’s On Fire;Billy F Gibbons;Blues;https://open.spotify.com/track/3ExuTGplbf3o6ilyu4JhY4;0.378;0.956;5.0;-4.418;1.0;0.0432;0.000645;0.000788;0.436;0.394;169.953;166947.0;4.0
Pilgrimage;Joe Bonamassa;Blues;https://open.spotify.com/track/0SN7oedJQF4Lisqp61Qt5c;0.527;0.306;9.0;-18.308;1.0;0.0317;0.161;0.89;0.113;0.626;82.017;55187.0;4.0
State of Mind;Laura Evans;Blues;https://open.spotify.com/track/2Y6FugxQpIz6Nj88w4Bfd5;0.603;0.698;0.0;-5.553;1.0;0.0337;0.114;0.0;0.241;0.374;121.972;199787.0;4.0
Forty-Four - Live at the Fillmore, San Francisco, 1994;Eric Clapton;Blues;https://open.spotify.com/track/4c5wxjM9A4ZA5P3yjDVwHF;0.354;0.876;4.0;-7.068;1.0;0.0501;0.119;0.247;0.971;0.601;138.365;257747.0;4.0
Ain’t No Love In The Heart Of The City;Gov't Mule;Blues;https://open.spotify.com/track/2h8nq99nTZQk9H4B63QjVn;0.606;0.524;5.0;-8.372;1.0;0.0274;0.0918;0.32;0.0934;0.801;143.783;336333.0;4.0
California;Blues Pills, Marc Broussard;Blues;https://open.spotify.com/track/6pyzjYC9xlQDvE2kuCoo8J;0.444;0.493;2.0;-7.402;1.0;0.037;0.0935;0.0;0.0909;0.276;123.499;224858.0;3.0
Easy On The Eyes;GA-20;Blues;https://open.spotify.com/track/1NkI05k92FlfdiCL5BKol6;0.573;0.591;11.0;-7.324;0.0;0.0275;0.0884;0.0218;0.0836;0.69;122.882;211820.0;4.0
Do the Romp;The Black Keys;Blues;https://open.spotify.com/track/3Zx3knFZ9hOCGFqZX3OWlE;0.439;0.787;0.0;-5.779;1.0;0.054;0.00209;0.0862;0.903;0.532;96.236;301319.0;4.0
Hanging On A Loser;Joe Bonamassa;Blues;https://open.spotify.com/track/6B4KDiLeMu7RveS2W3IOWI;0.589;0.763;7.0;-7.359;1.0;0.0297;0.0203;2.7e-05;0.289;0.615;98.0;257160.0;4.0
Known Unknowns;Joe Bonamassa;Blues;https://open.spotify.com/track/08ftxnSH1Z4xdZyxmlsOml;0.516;0.774;2.0;-7.278;1.0;0.0283;0.0246;0.00284;0.102;0.56;81.927;408307.0;4.0
Something's Got a Hold of My Heart;Bonnie Raitt;Blues;https://open.spotify.com/track/4cKrYwhGunX19sdbFZueAc;0.751;0.554;5.0;-5.983;1.0;0.0262;0.277;4.11e-05;0.089;0.502;93.449;292053.0;4.0
Somewhere;Tommy Castro;Blues;https://open.spotify.com/track/2Ja624OgeZY8nPV1XN1jGU;0.6;0.607;9.0;-5.199;1.0;0.0264;0.139;1.37e-05;0.0869;0.805;103.949;210254.0;4.0
Spin Me Round;Augie Bello, Casey Abrams;Blues;https://open.spotify.com/track/0iEo9wkzqOfVfVkezh8obQ;0.746;0.706;8.0;-6.342;1.0;0.0627;0.0513;0.00902;0.121;0.864;98.003;180800.0;4.0
Crossroads - Live at the Fillmore, San Francisco, 1994;Eric Clapton;Blues;https://open.spotify.com/track/5DZkC08fkJRcB6f7S2OHBF;0.287;0.947;2.0;-6.465;1.0;0.219;0.0467;0.00648;0.464;0.574;181.371;378520.0;4.0
Up and Rolling (feat. Son Little and Valerie June);North Mississippi Allstars, Son Little, Valerie June;Blues;https://open.spotify.com/track/2V5o61Yu0ddJDFz1Pi8T3N;0.65;0.551;2.0;-10.511;1.0;0.0362;0.221;4.83e-05;0.233;0.746;89.994;201921.0;4.0
Your Time Is Gonna Come;"Christone ""Kingfish"" Ingram";Blues;https://open.spotify.com/track/3jO3fBuQUIvEh7U4w264s1;0.354;0.562;9.0;-6.243;1.0;0.0331;0.483;0.102;0.341;0.249;142.433;313382.0;3.0
Curtain Call;Joe Bonamassa;Blues;https://open.spotify.com/track/4FCvNyWdtKlIJzuVaPfM1F;0.476;0.713;0.0;-8.654;0.0;0.0325;0.0516;0.0272;0.135;0.492;82.032;451667.0;4.0
After Midnight - Live;Eric Clapton;Blues;https://open.spotify.com/track/7mWN572Eh6liFvJaBuCOhQ;0.809;0.553;2.0;-12.198;1.0;0.0467;0.765;0.256;0.106;0.589;120.629;300680.0;4.0
You Know My Love;Gov't Mule;Blues;https://open.spotify.com/track/4ZHmUh8uIxHzAIeBdPg6mB;0.548;0.499;8.0;-6.803;0.0;0.0268;0.813;0.619;0.114;0.644;76.546;258680.0;4.0
